Country	Cases	Deaths	Population	continent	UrbanPop	LifeExp	Smoking	AlcConsump	BMI_m	BMI_f	SBP_f.x	SBP_f.y	cholesterol_m	cholesterol_f	GovtHealthUSD_pp	TotHealthUSD_pp	LandSqkm	DemScore	CPI	WomanInParlia	Income_pp	BasicSaniAcc
Holy See	27	0	809	Europe	0.5914300518134715	72.73743315508021	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	729.5684324324325	1030.9251366120218	664305.219895288	3.9751552795031055	42.7909604519774	0.23723193717277488	19277.55958549223	0.7570138297872341
Honduras	211076	5261	9904608	Americas	0.577	74	0.247484375	4.43	25.1	26.7	123	123	4.31	4.57	729.5684324324325	1030.9251366120218	112000	7	29	0.211	4800	0.813
Hungary	776983	27358	9660350	Europe	0.716	76.8	0.398	16.1	27.1	26	129	129	5.13	5.17	654	942	90500	10	45	0.121	31600	0.98
Iceland	6466	29	341250	Europe	0.939	82.8	0.263	7.38	27.2	26	119	119	5.68	5.58	3000	3720	100000	3.9751552795031055	77	0.381	47800	0.988
India	18762976	208330	1380004385	Asia	0.345	69	0.186	2.69	21	21.3	123	123	4.34	4.48	15.8	54.3	2970000	9	40	0.131	8100	0.595
Indonesia	1662868	45334	273523621	Asia	0.56	71.5	0.354	0.56	21.9	23	126	126	4.52	4.71	37.7	76.9	1810000	8	37	0.204	13100	0.731
Iran	2479805	71351	83992953	Asia	0.754	77.3	0.176	1.03	25.3	27.2	125	125	5	5.26	127	317	1630000	-7	30	0.0559	15900	0.884
Iraq	1058794	15433	40222503	Asia	0.707	76.7	0.142	0.47	26.7	28.4	126	126	4.83	4.89	200	247	434000	3	18	0.264	16200	0.941
Ireland	248326	4899	4937796	Europe	0.634	81.8	0.263	14.9	27.6	26.6	125	125	5.43	5.32	2930	4240	68900	10	74	0.273	75700	0.912
Israel	838407	6362	8655541	Asia	0.925	83	0.246	2.52	27.1	27.3	121	121	5.04	5.17	1320	2180	21600	10	62	0.275	34800	1
Italy	4009208	120544	60461828	Europe	0.707	83.2	0.261	9.72	26.5	24.8	124	124	5.32	5.36	2520	3250	294000	10	50	0.353	36400	0.988
Jamaica	45414	770	2961161	Americas	0.56	74.7	0.15	5.17	24	27.2	125	125	4.42	4.7	132	247	10800	9	44	0.309	8440	0.873
Japan	588580	10160	126476458	Asia	0.917	84.2	0.294	7.79	23.5	21.9	122	122	5.19	5.19	3360	4070	365000	10	73	0.144	40400	0.999
Jordan	709817	8801	10203140	Asia	0.912	79.3	0.365	0.65	27.5	29.2	121	121	4.95	5.03	242	357	88800	-3	48	0.138	8560	0.973
Kazakhstan	372662	3334	18776707	Asia	0.575	72	0.266	11.1	26.3	26.6	129	129	4.87	4.93	234	393	2700000	-6	31	0.245	26600	0.979
Kenya	158821	2707	53771300	Africa	0.275	65.9	0.147	3.88	21.6	23.1	130	130	4.31	4.37	16.3	36.9	569000	8	28	0.233	3360	0.291
Korea, South	122007	1828	51269183	Asia	0.814	82.6	0.297	19.1	24	23.3	117	117	4.79	4.85	848	1440	97500	8	54	0.19	38900	1
Kuwait	272562	1554	4270563	Asia	1	83.1	0.247484375	0.1	29.2	31.2	123	123	5.16	5.19	983	1220	17800	-7	39	0.0635	64200	1
Kyrgyzstan	94944	1598	6524191	Asia	0.366	72.7	0.247	4.72	24.8	25.7	130	130	4.38	4.51	30.1	53.5	192000	7	29	0.192	3610	0.965
Laos	672	0	7275556	Asia	0.356	67.6	0.405	6.99	21.1	22	123	123	4.38	4.54	15.4	46.2	231000	-7	29	0.275	7670	0.745
Latvia	117795	2125	1886202	Europe	0.682	75.2	0.394	13.4	26.5	25.6	130	130	5.14	5.18	439	718	62200	8	58	0.3	29000	0.921
Lebanon	525577	7249	6825442	Asia	0.888	78	0.181	2.3	27.2	27.7	128	128	4.76	4.97	255	651	10200	7	28	0.0469	12300	0.985
Lesotho	10731	316	2142252	Africa	0.286	54.7	0.247484375	5.56	21.9	26.8	131	131	4.11	4.27	83	109	30400	8	42	0.23	2970	0.428
Liberia	2099	85	5057677	Africa	0.516	64.4	0.247484375	5.07	21.9	23.2	131	131	3.81	4.05	9.49	29.2	96300	6	31	0.0971	1110	0.17
Libya	177072	3023	6871287	Africa	0.804	73	0.247484375	0.1	26.5	29.2	134	134	4.59	4.69	333	484	1760000	0	17	0.16	14500	1
Liechtenstein	2921	57	38137	Europe	0.144	72.73743315508021	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	729.5684324324325	1030.9251366120218	160	3.9751552795031055	42.7909604519774	0.12	19277.55958549223	1
Lithuania	245896	3916	2722291	Europe	0.679	75	0.33	16.3	26.9	26	131	131	5.14	5.15	574	781	62600	10	59	0.241	34600	0.934
Luxembourg	67045	794	625976	Europe	0.912	81.7	0.347	12.8	27.4	26.1	122	122	5.55	5.45	6910	8180	2430	3.9751552795031055	82	0.3	95800	0.976
Madagascar	36696	637	27691019	Africa	0.379	63.5	0.247484375	1.32	21.4	20.7	133	133	4.22	4.3	9.59	15.9	582000	0	24	0.183	1560	0.105
Malawi	34062	1148	19129955	Africa	0.172	63.2	0.15	1.44	22	22.9	134	134	4.23	4.36	15.4	25.6	94300	6	31	0.229	1240	0.262
Malaysia	404925	1492	32365998	Asia	0.766	74.7	0.288	0.87	24.7	25.4	124	124	4.98	5.12	204	368	329000	6	47	0.159	31000	0.996
Maldives	29370	73	540542	Asia	0.402	81.5	0.282	6.707608695652174	23.2	26.4	123	123	4.63	4.91	231	383	300	3.9751552795031055	33	0.046	15400	0.994
Mali	13815	481	20250834	Africa	0.431	62	0.112	0.99	21.8	23.1	128	128	3.98	4.14	14.8	31.7	1220000	7	31	0.279	2180	0.393
Malta	30276	413	441539	Europe	0.947	81	0.287	4.1	27.7	27.1	124	124	5.3	5.24	1110	1700	320	3.9751552795031055	56	0.134	41300	1
Marshall Islands	4	0	58413	Oceania	0.774	64.5	0.247484375	6.707608695652174	29.4	31.4	122	122	4.81	5.02	433	520	180	3.9751552795031055	42.7909604519774	0.0606	3670	0.835
Mauritania	18377	455	4649660	Africa	0.545	70.5	0.131	0.11	22.6	26.3	130	130	4.15	4.27	22.7	42.7	1030000	-2	28	0.203	4170	0.484
Mauritius	1208	17	1271767	Africa	0.408	74.8	0.185	3.53	25.2	26.1	131	131	4.93	4.92	187	449	2030	10	50	0.2	23600	0.955
Mexico	2340934	216447	127792286	Americas	0.804	75.5	0.247	8.55	27.4	28.7	122	122	4.93	5.15	729.5684324324325	1030.9251366120218	1940000	8	29	0.484	18300	0.912
Micronesia	1	0	113815	Oceania	0.228	67.2	0.247484375	5.25	28.1	31.3	125	125	4.95	4.96	334	366	700	3.9751552795031055	42.7909604519774	0	3280	0.883
Moldova	250508	5795	4033963	Europe	0.427	72.9	0.26	23	24.2	27.1	130	130	4.58	4.67	87.2	190	32900	8	31	0.248	7250	0.763
Monaco	2452	32	39244	Europe	1	72.73743315508021	0.247484375	6.707608695652174	24.962433862433862	25.793121693121694	126.70370370370371	126.70370370370371	4.64978835978836	4.768624338624338	5570	6330	664305.219895288	3.9751552795031055	42.7909604519774	0.333	62700	1
Mongolia	35979	110	3278292	Asia	0.685	68.9	0.263	3.41	24.9	25.7	130	130	4.66	4.71	66.2	120	1550000	10	36	0.173	13600	0.585
Montenegro	97257	1492	628062	Europe	0.672	76.5	0.247484375	6.707608695652174	26.6	25.7	129	129	4.94	5	389	578	13500	9	46	0.222	18700	0.978
Morocco	510886	9020	36910558	Africa	0.63	74	0.15	1.24	25.6	26.2	127	127	4.53	4.69	56.2	148	446000	-4	40	0.184	8220	0.885
Mozambique	69864	814	31255435	Africa	0.365	58.4	0.128	2.27	21.9	23.3	135	135	4.33	4.37	15.3	21.3	786000	5	25	0.424	1220	0.294
Namibia	48177	638	2540916	Africa	0.51	66.5	0.249	12.1	22.6	25.1	133	133	4.46	4.6	211	361	823000	6	51	0.363	9720	0.345
Nepal	317530	3246	29136808	Asia	0.202	70.9	0.306	2.42	20.8	20.7	126	126	4.15	4.27	9.9	1030.9251366120218	143000	6	31	0.336	3150	0.621
Netherlands	1515165	17372	17134873	Europe	0.919	81.5	0.343	9.75	26	25.5	122	122	5.35	5.28	4430	5590	33700	10	82	0.351	51800	0.977
New Zealand	2613	26	4822233	Oceania	0.866	81.6	0.286	9.99	27.8	27.4	119	119	5.19	5.19	2730	3280	263000	10	89	0.408	37000	1
Nicaragua	6898	182	6624554	Americas	0.588	78.8	0.247484375	5.21	25.8	27.6	124	124	4.33	4.57	729.5684324324325	1030.9251366120218	120000	9	26	0.473	4480	0.744
Niger	5226	191	24206636	Africa	0.165	62.4	0.247484375	0.34	21.2	22	135	135	3.8	3.97	9.3	18.3	1270000	6	33	0.17	991	0.136
Nigeria	165055	2063	206139587	Africa	0.512	64.3	0.071	12.7	23	23.7	136	136	3.79	4.12	23.8	62.8	911000	4	27	0.045	5300	0.392
North Macedonia	152002	4818	2083380	Europe	0.582	76.5	0.247484375	8.94	26.3	25.4	130	130	4.78	4.88	202	317	25200	9	35	0.383	14800	0.991
Norway	112541	754	5421242	Europe	0.826	82.3	0.32	8.35	26.9	25.7	126	126	5.39	5.32	6790	8090	365000	10	85	0.414	68200	0.981
Oman	193253	2010	5106622	Asia	0.854	77.1	0.131	0.92	26.2	26.7	127	127	4.94	5.05	460	574	310000	-8	44	0.0988	36400	1
Pakistan	820823	17811	220892331	Asia	0.369	66.8	0.211	0.05	22.3	23.4	127	127	4.46	4.55	8.38	21.8	771000	6	32	0.2	5080	0.599
Panama	364218	6227	4314768	Americas	0.681	79.3	0.247484375	7.3	26.3	27.7	123	123	4.72	4.93	463	616	74300	9	37	0.225	25100	0.833
Papua New Guinea	10997	107	8947027	Oceania	0.133	58.5	0.247484375	3.64	25	25.8	120	120	4.62	4.76	35.4	49.4	453000	4	29	0	3970	0.129
Paraguay	276865	6302	7132530	Americas	0.619	76.1	0.24	7.91	25.5	25.9	124	124	4.62	4.78	59.3	163	397000	8	29	0.176	12700	0.898
Peru	1783339	60742	32971846	Americas	0.781	80.3	0.247484375	6.53	24.8	26	120	120	4.67	4.75	145	269	1280000	9	37	0.261	13700	0.743
Philippines	1028738	17145	109581085	Asia	0.471	69.7	0.26	6.08	22.9	23.5	122	122	4.7	4.93	27.3	77.3	298000	8	34	0.281	9040	0.765
Poland	2785353	67073	37846605	Europe	0.6	78	0.356	14.4	26.7	25.9	130	130	5.27	5.15	666	917	306000	10	60	0.279	31700	0.988
Portugal	836033	16974	10196707	Europe	0.658	81.4	0.358	13.9	26.7	26.2	127	127	5.18	5.16	1610	2370	91600	10	63	0.4	30300	0.996
Qatar	204976	450	2881060	Asia	0.992	80.2	0.247484375	1.29	28.1	28.9	126	126	5.17	5.25	1150	1490	11600	-10	63	0.0976	119000	1
Romania	1053629	27971	19237682	Europe	0.541	75.2	0.326	16.1	25.4	25.2	129	129	4.89	4.9	334	428	230000	9	48	0.198	27200	0.843
Russia	4742142	107902	145934460	Europe	0.746	72.1	0.485	16.2	26	27.2	129	129	4.93	5.09	326	525	16400000	4	29	0.161	26700	0.905
Rwanda	24995	333	12952209	Africa	0.173	68.5	0.247484375	9.99	22.6	22.1	135	135	4.09	4.29	27.8	55.5	24700	-4	55	0.557	2360	0.666
Saint Kitts and Nevis	44	0	53192	Americas	0.308	72.73743315508021	0.247484375	10.6	28.2	30.5	129	129	4.71	4.89	405	669	260	3.9751552795031055	42.7909604519774	0.25	30300	0.7570138297872341
